"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
291.505306282517,295.639038085937,295.639038085937
298.364724028333,295.639038085937,295.639038085937
305.385550883341,305.17578125,305.17578125
312.571584968823,314.712524414063,314.712524414063
319.926713779737,324.249267578125,324.249267578125
327.454916287772,324.249267578125,324.249267578125
335.160265093883,333.786010742187,333.786010742187
343.046928631491,343.32275390625,343.32275390625
351.119173421512,352.859497070313,352.859497070313
359.381366380461,362.396240234375,362.396240234375
367.837977182862,371.932983398438,371.932983398438
376.493580679245,371.932983398438,371.932983398438
385.352859371051,381.4697265625,381.4697265625
394.420605943764,391.006469726562,391.006469726562
403.701725859654,400.543212890625,400.543212890625
413.201240011532,410.079956054688,410.079956054688
422.924287438948,419.61669921875,419.61669921875
432.876128108304,429.153442382812,429.153442382812
443.062145758386,438.690185546875,438.690185546875
453.487850812856,457.763671875,457.763671875
464.158883361276,467.300415039062,467.300415039062
475.081016210278,476.837158203125,476.837158203125
486.260158006533,486.373901367187,486.373901367187
497.702356433209,495.91064453125,495.91064453125
509.413801481636,505.447387695313,505.447387695313
521.400828799966,524.520874023438,524.520874023438
533.669923120628,534.0576171875,534.0576171875
546.227721768431,543.594360351563,543.594360351563
559.08101825122,562.667846679687,562.667846679687
572.236765935019,572.20458984375,572.20458984375
585.702081805664,581.741333007813,581.741333007813
599.484250318938,600.814819335938,600.814819335938
613.590727341314,610.3515625,610.3515625
628.029144183422,629.425048828125,629.425048828125
642.807311728429,638.961730957031,638.961730957031
657.933224657564,658.035278320313,658.035278320313
673.415065775078,677.108703613281,677.108703613281
689.261210434966,686.6455078125,686.6455078125
705.48023107186,705.718994140625,705.718994140625
722.080901838542,724.79248046875,724.79248046875
739.072203352574,734.329223632813,734.329223632813
756.463327554624,753.402648925781,753.402648925781
774.263682681123,772.476196289062,772.476196289062
792.482898353913,791.549621582031,791.549621582031
811.130830789682,810.623168945312,810.623168945312
830.21756813197,829.696594238281,829.696594238281
849.753435908639,848.770141601563,848.770141601563
869.749002617778,867.843566894531,867.843566894531
890.215085445033,886.917114257812,886.917114257812
911.162756115483,915.52734375,915.52734375
932.603346883214,934.600830078125,934.600830078125
954.548456661828,953.67431640625,953.67431640625
977.009957299219,972.747802734375,972.747802734375
999.999999999993,1001.35803222656,1001.35803222656

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)","Ch-2 (deg)"
100,0,-79.9156265258789
102.353102189903,0,-172.006896972656
104.761575278966,0,-167.577362060547
107.226722201032,0,-163.093811035156
109.749876549306,0,-158.420272827148
112.332403297803,0,-153.704605102539
114.975699539774,0,-148.835601806641
117.6811952435,0,-143.852554321289
120.450354025878,0,-138.778732299805
123.284673944207,0,-133.587509155273
126.185688306602,0,-128.25862121582
129.154966501488,0,-122.81908416748
132.194114846603,0,-117.227172851562
135.304777457981,0,-111.512969970703
138.488637139387,0,-105.680168151855
141.74741629268,0,-99.6735229492188
145.082877849594,0,-93.5839233398438
148.496826225446,0,-87.2839584350586
151.991108295293,0,-80.8966217041016
155.567614393047,0,-74.311767578125
159.228279334109,0,-67.5848999023437
162.975083462064,0,-60.7396774291992
166.810053720006,0,-53.657844543457
170.735264747069,0,-46.4693870544434
174.752840000768,0,-39.0898284912109
178.864952905743,0,-31.5353393554688
183.073828029537,0,-23.8305206298828
187.381742286038,0,-15.8895664215088
191.791026167249,0,-7.79742431640625
196.304065004027,0,0.487358093261719
200.923300256504,0,8.97936248779297
205.651230834865,0,17.6569290161133
210.490414451202,0,26.5526123046875
215.443469003188,0,35.6396293640137
220.513073990304,0,44.9507446289063
225.701971963391,0,54.4830627441406
231.012970008315,0,64.2528991699219
236.44894126454,0,74.1967620849609
242.012826479438,0,84.426513671875
247.70763559917,0,94.9173583984375
253.536449397011,0,105.600257873535
259.502421139973,0,116.558563232422
265.608778294668,0,127.760696411133
271.858824273293,0,139.261566162109
278.255940220712,0,150.998626708984
284.803586843579,0,162.993957519531
291.505306282517,0,175.301788330078
298.364724028333,0,-172.115097045898
305.385550883341,0,-159.196517944336
312.571584968823,0,-146.023056030273
319.926713779737,0,-132.543151855469
327.454916287772,0,-118.696823120117
335.160265093883,0,-104.553009033203
343.046928631491,0,-90.0590209960938
351.119173421512,0,-75.2475509643555
359.381366380461,0,-60.0742492675781
367.837977182862,0,-44.5707015991211
376.493580679245,0,-28.6711235046387
385.352859371051,0,-12.3895568847656
